Number of Blocks,ErrorUB,ErrorLB
4.200000000000000000e+01,2.730528219838205053e-02,1.182962919165776554e-02
4.300000000000000000e+01,2.526321231197630260e-02,1.078009731938689951e-02
4.400000000000000000e+01,2.337543211552886233e-02,9.824623811787223590e-03
4.500000000000000000e+01,2.163008583947576002e-02,8.954647257799135812e-03
4.600000000000000000e+01,2.001625429329978098e-02,8.162404226884963782e-03
4.700000000000000000e+01,1.852387749448332691e-02,7.440852183785027531e-03
4.800000000000000000e+01,1.714368414861848836e-02,6.783600251963899271e-03
4.900000000000000000e+01,1.586712731031091408e-02,6.184846965458830857e-03
5.000000000000000000e+01,1.468632562903479828e-02,5.639324252597921992e-03
5.100000000000000000e+01,1.359400964907008479e-02,5.142246984816187423e-03
5.200000000000000000e+01,1.258347268950024862e-02,4.689267501685235456e-03
5.300000000000000000e+01,1.164852588011740242e-02,4.276434591051158501e-03
5.400000000000000000e+01,1.078345697295671375e-02,3.900156462313562108e-03
5.500000000000000000e+01,9.982992587887581926e-03,3.557167302609378062e-03
5.600000000000000000e+01,9.242263584923427963e-03,3.244497051022335928e-03
5.700000000000000000e+01,8.556773286253361449e-03,2.959444065796819259e-03
5.800000000000000000e+01,7.922368297970843257e-03,2.699550394634019686e-03
5.900000000000000000e+01,7.335211705481949236e-03,2.462579389117368431e-03
6.000000000000000000e+01,6.791758438006847108e-03,2.246495431690643998e-03
6.100000000000000000e+01,6.288732616743952786e-03,2.049445567855091507e-03
6.200000000000000000e+01,5.823106718427300058e-03,1.869742857755303175e-03
6.300000000000000000e+01,5.392082401407284446e-03,1.705851280427196854e-03
6.400000000000000000e+01,4.993072855222790464e-03,1.556372040977922321e-03
6.500000000000000000e+01,4.623686547095530452e-03,1.420031146110290734e-03
6.600000000000000000e+01,4.281712250008304008e-03,1.295668126913478895e-03
6.700000000000000000e+01,3.965105247171994696e-03,1.182225799908241063e-03
6.800000000000000000e+01,3.671974616856372997e-03,1.078740968125501114e-03
6.900000000000000000e+01,3.400571509858655965e-03,9.843359736577388802e-04
7.000000000000000000e+01,3.149278339407649268e-03,8.982110217798201313e-04
7.100000000000000000e+01,2.916598810127231638e-03,8.196372045025134608e-04
7.200000000000000000e+01,2.701148718882467881e-03,7.479501583952578945e-04
7.300000000000000000e+01,2.501647465970289769e-03,6.825442977817404444e-04
7.400000000000000000e+01,2.316910220247161804e-03,6.228675700485773910e-04
7.500000000000000000e+01,2.145840686461239401e-03,5.684166848811588119e-04
7.600000000000000000e+01,1.987424427318343258e-03,5.187327738111813030e-04
7.700000000000000000e+01,1.840722696700652179e-03,4.733974405802858173e-04
7.800000000000000000e+01,1.704866744008957284e-03,4.320291665403725909e-04
7.900000000000000000e+01,1.579052552845563659e-03,3.942800386652275946e-04
8.000000000000000000e+01,1.462535980224324936e-03,3.598327707770982136e-04
8.100000000000000000e+01,1.354628265210592502e-03,3.283979913287650822e-04
8.200000000000000000e+01,1.254691878382670689e-03,2.997117735559348337e-04
8.300000000000000000e+01,1.162136685786225795e-03,2.735333860527170411e-04
8.400000000000000000e+01,1.076416403142931542e-03,2.496432438480028471e-04
8.500000000000000000e+01,9.970253179921986699e-04,2.278410418938206635e-04
8.600000000000000000e+01,9.234952592045346607e-04,2.079440545370082373e-04
8.700000000000000000e+01,8.553927949202646619e-04,1.897855860497340099e-04
8.800000000000000000e+01,7.923166414519593062e-04,1.732135586576801444e-04
8.900000000000000000e+01,7.338952670522855921e-04,1.580892257406690067e-04
9.000000000000000000e+01,6.797846757031186836e-04,1.442859990014865067e-04
9.100000000000000000e+01,6.296663572346320381e-04,1.316883794155515521e-04
9.200000000000000000e+01,5.832453911440827572e-04,1.201909826969317760e-04
9.300000000000000000e+01,5.402486924603260672e-04,1.096976508538574256e-04
9.400000000000000000e+01,5.004233888988434157e-04,1.001206421674617406e-04
9.500000000000000000e+01,4.635353193798350240e-04,9.137989261820873854e-05
9.600000000000000000e+01,4.293676447443481314e-04,8.340234241195210315e-05
9.700000000000000000e+01,3.977195622058752158e-04,7.612132182768347897e-05
9.800000000000000000e+01,3.684051157223930742e-04,6.947599112718068814e-05
9.900000000000000000e+01,3.412520950705765247e-04,6.341082973775745586e-05
1.000000000000000000e+02,3.161010169542193340e-04,5.787517034753198282e-05
1.010000000000000000e+02,2.783656615421519322e-04,4.908285669368370733e-05
1.020000000000000000e+02,2.573721555494425908e-04,4.468043086773172408e-05
1.030000000000000000e+02,2.379619170166068492e-04,4.067287515445399792e-05
1.040000000000000000e+02,2.200155406451512609e-04,3.702477216987910683e-05
1.050000000000000000e+02,2.034226263272198565e-04,3.370388124827063115e-05
1.060000000000000000e+02,1.880811000010410212e-04,3.068085351033337073e-05
1.070000000000000000e+02,1.738965857254203039e-04,2.792897248802272495e-05
1.080000000000000000e+02,1.607818251105035535e-04,2.542391801368935842e-05
1.090000000000000000e+02,1.486561405333308977e-04,2.314355128689377848e-05
1.100000000000000000e+02,1.374449388360737367e-04,2.106771921938543329e-05
1.110000000000000000e+02,1.270792524538624964e-04,1.917807632911610813e-05
1.120000000000000000e+02,1.174953151493856045e-04,1.745792260924828942e-05
1.130000000000000000e+02,1.086341697443143250e-04,1.589205593930126273e-05
1.140000000000000000e+02,1.004413054344506495e-04,1.446663773409608698e-05
1.150000000000000000e+02,9.286632245748470632e-05,1.316907064315144119e-05
1.160000000000000000e+02,8.586262205050443472e-05,1.198788721968015172e-05
1.170000000000000000e+02,7.938711978998575555e-05,1.091264857528168679e-05
1.180000000000000000e+02,7.339998055082120969e-05,9.933852124676141780e-06
1.190000000000000000e+02,6.786437345394852403e-05,9.042847605159452947e-06
1.200000000000000000e+02,6.274624529509438867e-05,8.231760628589381210e-06
1.210000000000000000e+02,5.801411106084693111e-05,7.493423090281016541e-06
1.220000000000000000e+02,5.363886024337790519e-05,6.821309819789910275e-06
1.230000000000000000e+02,4.959357776233121385e-05,6.209480913724476720e-06
1.240000000000000000e+02,4.585337839224565396e-05,5.652529240945109901e-06
1.250000000000000000e+02,4.239525367696786955e-05,5.145532656219269717e-06
1.260000000000000000e+02,3.919793038932129441e-05,4.684010500013269552e-06
1.270000000000000000e+02,3.624173966532496843e-05,4.263883999981286858e-06
1.280000000000000000e+02,3.350849600791715107e-05,3.881440224193544513e-06
1.290000000000000000e+02,3.098138541585739183e-05,3.533299267534893367e-06
1.300000000000000000e+02,2.864486194961174487e-05,3.216384381278597411e-06
1.310000000000000000e+02,2.648455209792965916e-05,2.927894781850867439e-06
1.320000000000000000e+02,2.448716635680832468e-05,2.665280898479465623e-06
1.330000000000000000e+02,2.264041747690638410e-05,2.426221840973697176e-06
1.340000000000000000e+02,2.093294487649407907e-05,2.208604888503897214e-06
1.350000000000000000e+02,1.935424475495199775e-05,2.010506818109298187e-06
1.360000000000000000e+02,1.789460547690147060e-05,1.830176907922226018e-06
1.370000000000000000e+02,1.654504782947009879e-05,1.666021464896950666e-06
1.380000000000000000e+02,1.529726978517621677e-05,1.516589740304674641e-06
1.390000000000000000e+02,1.414359543063101258e-05,1.380561108520691817e-06
1.400000000000000000e+02,1.307692774688567603e-05,1.256733395794292108e-06
1.410000000000000000e+02,1.209070495094321574e-05,1.144012255855159235e-06
1.420000000000000000e+02,1.117886012986327091e-05,1.041401498461520118e-06
1.430000000000000000e+02,1.033578391914175012e-05,9.479942854171725012e-07
1.440000000000000000e+02,9.556289995775807335e-06,8.629651162508121954e-07
1.450000000000000000e+02,8.835583173738382760e-06,7.855625327298915475e-07
1.460000000000000000e+02,8.169229905596965126e-06,7.151024777340425933e-07
1.470000000000000000e+02,7.553131008811888262e-06,6.509622497960926564e-07
1.480000000000000000e+02,6.983496448935681680e-06,5.925749998830102419e-07
1.490000000000000000e+02,6.456822024588288959e-06,5.394247217812424903e-07
1.500000000000000000e+02,5.969867810781543878e-06,4.910416918132189434e-07
1.510000000000000000e+02,5.519638227983862993e-06,4.469983175828053094e-07
1.520000000000000000e+02,5.103363614316324944e-06,4.069053590623843819e-07
1.530000000000000000e+02,4.718483187518783867e-06,3.704084886248282669e-07
1.540000000000000000e+02,4.362629291873415494e-06,3.371851596191301359e-07
1.550000000000000000e+02,4.033612833178332707e-06,3.069417558152511936e-07
1.560000000000000000e+02,3.729409812171819198e-06,2.794109965259691305e-07
1.570000000000000000e+02,3.448148873565562427e-06,2.543495744730998643e-07
1.580000000000000000e+02,3.188099794092476424e-06,2.315360055223674233e-07
1.590000000000000000e+02,2.947662838751631882e-06,2.107686712836371323e-07
1.600000000000000000e+02,2.725358919773287655e-06,1.918640372776853839e-07
1.610000000000000000e+02,2.519820497765438816e-06,1.746550309222872992e-07
1.620000000000000000e+02,2.329783169068632064e-06,1.589895650028257084e-07
1.630000000000000000e+02,2.154077887567343715e-06,1.447291935783689828e-07
1.640000000000000000e+02,1.991623773109122690e-06,1.317478884445826465e-07
1.650000000000000000e+02,1.841421462291206318e-06,1.199309253402790319e-07
1.660000000000000000e+02,1.702546960710990025e-06,1.091738700542873345e-07
1.670000000000000000e+02,1.574145958861330386e-06,9.938165547220553085e-08
1.680000000000000000e+02,1.455428576704084676e-06,9.046774140629903344e-08
1.690000000000000000e+02,1.345664504592154460e-06,8.235334978341110323e-08
1.700000000000000000e+02,1.244178510648704480e-06,7.496676843174332518e-08
1.710000000000000000e+02,1.150346286966370785e-06,6.824271731361543448e-08
1.720000000000000000e+02,1.063590609073743108e-06,6.212177160319057987e-08
1.730000000000000000e+02,9.833777850433693248e-07,5.654983651052572371e-08
1.740000000000000000e+02,9.092143723974497269e-07,5.147766921062733846e-08
1.750000000000000000e+02,8.406441426146604487e-07,4.686044365248571483e-08
1.760000000000000000e+02,7.772452745648214321e-07,4.265735440202204290e-08
1.770000000000000000e+02,7.186277596063158125e-07,3.883125601785006228e-08
1.780000000000000000e+02,6.644310023833055528e-07,3.534833477278048453e-08
1.790000000000000000e+02,6.143216025636607207e-07,3.217780981985712666e-08
1.800000000000000000e+02,5.679913038715634525e-07,2.929166116193395856e-08
1.810000000000000000e+02,5.251550977979609679e-07,2.666438202068284959e-08
1.820000000000000000e+02,4.855494703234889103e-07,2.427275341655537063e-08
1.830000000000000000e+02,4.489307808683264632e-07,2.209563896751477326e-08
1.840000000000000000e+02,4.150737634967932563e-07,2.011379809304058620e-08
1.850000000000000000e+02,3.837701411566263280e-07,1.830971597256814844e-08
1.860000000000000000e+02,3.548273444281777575e-07,1.666744875559394412e-08
1.870000000000000000e+02,3.280673269017271221e-07,1.517248265546879308e-08
1.880000000000000000e+02,3.033254698954861223e-07,1.381160568159779057e-08
1.890000000000000000e+02,2.804495697765056736e-07,1.257279087646123465e-08
1.900000000000000000e+02,2.592989016548043616e-07,1.144509002554582198e-08
1.910000000000000000e+02,2.397433536908945878e-07,1.041853690083145727e-08
1.920000000000000000e+02,2.216626266912393528e-07,9.484059182733264572e-09
1.930000000000000000e+02,2.049454940678334475e-07,8.633398282095528261e-09
1.940000000000000000e+02,1.894891176094164732e-07,7.859036353652232629e-09
1.950000000000000000e+02,1.751984148551755258e-07,7.154129855924554516e-09
1.960000000000000000e+02,1.619854741792354835e-07,6.512449070380760726e-09
1.970000000000000000e+02,1.497690139877232306e-07,5.928323045349892307e-09
1.980000000000000000e+02,1.384738827015775331e-07,5.396589478122675998e-09
1.990000000000000000e+02,1.280305964491562209e-07,4.912549092315113344e-09
2.000000000000000000e+02,1.183749116246884473e-07,4.471924107297723266e-09
2.010000000000000000e+02,1.094474296830875316e-07,4.070820432657715450e-09
2.020000000000000000e+02,1.011932317399602163e-07,3.705693253581938607e-09
2.030000000000000000e+02,9.356154072898825187e-08,3.373315703016008423e-09
2.040000000000000000e+02,8.650540903839294033e-08,3.070750343735317519e-09
2.050000000000000000e+02,7.998142970492081770e-08,2.795323208296174046e-09
2.060000000000000000e+02,7.394946938871825903e-08,2.544600167441266716e-09
2.070000000000000000e+02,6.837242148644100636e-08,2.316365418111634552e-09
2.080000000000000000e+02,6.321597786383453168e-08,2.108601900949663442e-09
2.090000000000000000e+02,5.844841780356308297e-08,1.919473474229813436e-09
2.100000000000000000e+02,5.404041286995998357e-08,1.747308686676473285e-09
2.110000000000000000e+02,4.996484649029641383e-08,1.590586005758745555e-09
2.120000000000000000e+02,4.619664714269129270e-08,1.447920370914976626e-09
2.130000000000000000e+02,4.271263412448961927e-08,1.318050952869095916e-09
2.140000000000000000e+02,3.949137495233019984e-08,1.199830010859861717e-09
2.150000000000000000e+02,3.651305351667229472e-08,1.092212749307083357e-09
2.160000000000000000e+02,3.375934817971471886e-08,9.942480842715522899e-10
2.170000000000000000e+02,3.121331906680457741e-08,9.050702381058942182e-10
2.180000000000000000e+02,2.885930385799229745e-08,8.238910880127282860e-10
2.190000000000000000e+02,2.668282143867477073e-08,7.499932008894290543e-10
2.200000000000000000e+02,2.467048281661966019e-08,6.827234929038114728e-10
2.210000000000000000e+02,2.280990875736085888e-08,6.214874577662994116e-10
2.220000000000000000e+02,2.108965363128705550e-08,5.657439126900469779e-10
2.230000000000000000e+02,1.949913500395431520e-08,5.150002156056370424e-10
2.240000000000000000e+02,1.802856853648727623e-08,4.688079113617631988e-10
2.250000000000000000e+02,1.666890779559739633e-08,4.267587684345295510e-10
2.260000000000000000e+02,1.541178860294939659e-08,3.884811711191840824e-10
2.270000000000000000e+02,1.424947758153270722e-08,3.536368353197305825e-10
2.280000000000000000e+02,1.317482458251117097e-08,3.219178189117093517e-10
2.290000000000000000e+02,1.218121869989784345e-08,2.930438002567719322e-10
2.300000000000000000e+02,1.126254760247123952e-08,2.667596008175093138e-10
2.310000000000000000e+02,1.041315993275733993e-08,2.428329299782635043e-10
2.320000000000000000e+02,9.627830541767491575e-09,2.210523321414332061e-10
2.330000000000000000e+02,8.901728345628718890e-09,2.012253179564249117e-10
2.340000000000000000e+02,8.230386606370657944e-09,1.831766631657031472e-10
2.350000000000000000e+02,7.609675454047027393e-09,1.667468600337233936e-10
2.360000000000000000e+02,7.035776481156220974e-09,1.517907076730289407e-10
2.370000000000000000e+02,6.505159253074929436e-09,1.381760288092931058e-10
2.380000000000000000e+02,6.014559590004494066e-09,1.257825016445264609e-10
2.390000000000000000e+02,5.560959486828161671e-09,1.145005964948620555e-10
2.400000000000000000e+02,5.141568547352446748e-09,1.042306078052926314e-10
2.410000000000000000e+02,4.753806818722618942e-09,9.488177298664316127e-11
2.420000000000000000e+02,4.395288920415250225e-09,8.637147028736558546e-11
2.430000000000000000e+02,4.063809370174622932e-09,7.862448861122621936e-11
2.440000000000000000e+02,3.757329016623287096e-09,7.157236282778799387e-11
2.450000000000000000e+02,3.473962495084429824e-09,6.515276870139298642e-11
2.460000000000000000e+02,3.211966629448694983e-09,5.930897209123766070e-11
2.470000000000000000e+02,2.969729708737469259e-09,5.398932755476286106e-11
2.480000000000000000e+02,2.745761572395814082e-09,4.914682192318937868e-11
2.490000000000000000e+02,2.538684443322857824e-09,4.473865881547940566e-11
2.500000000000000000e+02,2.347224452247686152e-09,4.072588041880008782e-11
2.510000000000000000e+02,2.170203801311419778e-09,3.707302319292003322e-11
2.520000000000000000e+02,2.006533518648580504e-09,3.374780445577120419e-11
2.530000000000000000e+02,1.855206759396190090e-09,3.072083708032942545e-11
2.540000000000000000e+02,1.715292611920784544e-09,2.796536978140364930e-11
2.550000000000000000e+02,1.585930371161226870e-09,2.545705069707879759e-11
2.560000000000000000e+02,1.466324243858949372e-09,2.317371217542729115e-11
2.570000000000000000e+02,1.355738453103839569e-09,2.109517486450896286e-11
2.580000000000000000e+02,1.253492712080669698e-09,1.920306937427496420e-11
2.590000000000000000e+02,1.158958039172038170e-09,1.748067393428553002e-11
2.600000000000000000e+02,1.071552888673715085e-09,1.591276661251695914e-11
2.610000000000000000e+02,9.907395733199086004e-10,1.448549078921904121e-11
2.620000000000000000e+02,9.160209566109420196e-10,1.318623269692764440e-11
2.630000000000000000e+02,8.469373945957093238e-10,1.200350994437365236e-11
2.640000000000000000e+02,7.830639082957389268e-10,1.092687003910134199e-11
2.650000000000000000e+02,7.240075693766089755e-10,9.946798011974345753e-12
2.660000000000000000e+02,6.694050829841796573e-10,9.054632327186913564e-12
2.670000000000000000e+02,6.189205528761082704e-10,8.242488334621845455e-12
2.680000000000000000e+02,5.722434151004485678e-10,7.503188588054389586e-12
2.690000000000000000e+02,5.290865275100563133e-10,6.830199413378057654e-12
2.700000000000000000e+02,4.891844033600834559e-10,6.217573166264628961e-12
2.710000000000000000e+02,4.522915781222823322e-10,5.659895668951562539e-12
2.720000000000000000e+02,4.181810994692809050e-10,5.152238361621432942e-12
2.730000000000000000e+02,3.866431311397467878e-10,4.690114745503920780e-12
2.740000000000000000e+02,3.574836620958498090e-10,4.269440732759634758e-12
2.750000000000000000e+02,3.305233130322188974e-10,3.886498552731812865e-12
2.760000000000000000e+02,3.055962328944229576e-10,3.537903895581929323e-12
2.770000000000000000e+02,2.825490786187255862e-10,3.220576002936056691e-12
2.780000000000000000e+02,2.612400718168268088e-10,2.931710441213536974e-12
2.790000000000000000e+02,2.415381266026109420e-10,2.668754317018090776e-12
2.800000000000000000e+02,2.233220431956003306e-10,2.429383715553615604e-12
2.810000000000000000e+02,2.064797623404200538e-10,2.211483162673270904e-12
2.820000000000000000e+02,1.909076759557261327e-10,2.013126929054463100e-12
2.830000000000000000e+02,1.765099897719225758e-10,1.832562011272705874e-12
2.840000000000000000e+02,1.631981340368405417e-10,1.668192639366859089e-12
2.850000000000000000e+02,1.508902186642304700e-10,1.518566173979062097e-12
2.860000000000000000e+02,1.395105294733311059e-10,1.382360268433168754e-12
2.870000000000000000e+02,1.289890624205389078e-10,1.258371182294601375e-12
2.880000000000000000e+02,1.192610929579354760e-10,1.145503143130931762e-12
2.890000000000000000e+02,1.102667778695050065e-10,1.042758662456119166e-12
2.900000000000000000e+02,1.019507871356777599e-10,9.492297202740980749e-13
2.910000000000000000e+02,9.426196356154517669e-11,8.640897403137704252e-13
2.920000000000000000e+02,8.715300807489939066e-11,7.865862850353204100e-13
2.930000000000000000e+02,8.058018875815357934e-11,7.160344058488599620e-13
2.940000000000000000e+02,7.450307182420372856e-11,6.518105897769469751e-13
2.950000000000000000e+02,6.888427288128940086e-11,5.933472490636852840e-13
2.960000000000000000e+02,6.368922695671221836e-11,5.401277050314880655e-13
2.970000000000000000e+02,5.888597586467960426e-11,4.916816218545713130e-13
2.980000000000000000e+02,5.444497161022884004e-11,4.475808498944690741e-13
2.990000000000000000e+02,5.033889461984128329e-11,4.074356418623840791e-13
3.000000000000000000e+02,4.654248568055842375e-11,3.708912083681716409e-13
3.010000000000000000e+02,4.303239055374839246e-11,3.376245824150677857e-13
3.020000000000000000e+02,3.978701630763673066e-11,3.073417651296667306e-13
3.030000000000000000e+02,3.678639848480974731e-11,2.797751275021010506e-13
3.040000000000000000e+02,3.401207828754608021e-11,2.546810451739068364e-13
3.050000000000000000e+02,3.144698902546415306e-11,2.318377453706512016e-13
3.060000000000000000e+02,2.907535112694859392e-11,2.110433469512621406e-13
3.070000000000000000e+02,2.688257506850037616e-11,1.921140762526977949e-13
3.080000000000000000e+02,2.485517162486633514e-11,1.748826429622099205e-13
3.090000000000000000e+02,2.298066888783444736e-11,1.591967616637269563e-13
3.100000000000000000e+02,2.124753554322415810e-11,1.449178059922958770e-13
3.110000000000000000e+02,1.964510993409621605e-11,1.319195835024691444e-13
3.120000000000000000e+02,1.816353447380391058e-11,1.200872204233483434e-13
3.130000000000000000e+02,1.679369500541514249e-11,1.093161464441402334e-13
3.140000000000000000e+02,1.552716473446605233e-11,9.951117055810621720e-14
3.150000000000000000e+02,1.435615239013837187e-11,9.058563979754443823e-14
3.160000000000000000e+02,1.327345429596635089e-11,8.246067342498990957e-14
3.170000000000000000e+02,1.227241005522716294e-11,7.506446581268349015e-14
3.180000000000000000e+02,1.134686157840695184e-11,6.833165184940058719e-14
3.190000000000000000e+02,1.049111520069268449e-11,6.220272926632540885e-14
3.200000000000000000e+02,9.699906656449891247e-12,5.662353277668812290e-14
3.210000000000000000e+02,8.968368695220184632e-12,5.154475538179355363e-14
3.220000000000000000e+02,8.292001140023642482e-12,4.692151261291072103e-14
3.230000000000000000e+02,7.666643203774478818e-12,4.271294585794447297e-14
3.240000000000000000e+02,7.088447893509771027e-12,3.888186126722826627e-14
3.250000000000000000e+02,6.553858344974982350e-12,3.539440104721308303e-14
3.260000000000000000e+02,6.059585941984042814e-12,3.221974423706036589e-14
3.270000000000000000e+02,5.602590085952025097e-12,2.932983432370653354e-14
3.280000000000000000e+02,5.180059491149050070e-12,2.669913128815573412e-14
3.290000000000000000e+02,4.789394890610444315e-12,2.430438589167212839e-14
3.300000000000000000e+02,4.428193046315229530e-12,2.212443420709200912e-14
3.310000000000000000e+02,4.094231965269274206e-12,2.014001057939367318e-14
3.320000000000000000e+02,3.785457230547161562e-12,1.833357736253735107e-14
3.330000000000000000e+02,3.499969363206153865e-12,1.668916992784723230e-14
3.340000000000000000e+02,3.236012137326689994e-12,1.519225557417411438e-14
3.350000000000000000e+02,2.991961776297664548e-12,1.382960509293564292e-14
3.360000000000000000e+02,2.766316963885514736e-12,1.258917585297064501e-14
3.370000000000000000e+02,2.557689608638716012e-12,1.146000537195214346e-14
3.380000000000000000e+02,2.364796304813175835e-12,1.043211443378017946e-14
3.390000000000000000e+02,2.186450437289155871e-12,9.496418895739695149e-15
3.400000000000000000e+02,2.021554881911756400e-12,8.644649406005761240e-15
3.410000000000000000e+02,1.869095256349861128e-12,7.869278321987383052e-15
3.420000000000000000e+02,1.728133679955195298e-12,7.163453183639622280e-15
3.430000000000000000e+02,1.597803004234084951e-12,6.520936153804433686e-15
3.440000000000000000e+02,1.477301478439831202e-12,5.936048890374471573e-15
3.450000000000000000e+02,1.365887817470125109e-12,5.403622363080264784e-15
3.460000000000000000e+02,1.262876641728946588e-12,4.918951171397600189e-15
3.470000000000000000e+02,1.167634260900394234e-12,4.477751959854081519e-15
3.480000000000000000e+02,1.079574775697717904e-12,4.076125563222481260e-15
3.490000000000000000e+02,9.981564736067605138e-13,3.710522547054468842e-15
3.500000000000000000e+02,9.228784964516931914e-13,3.377711839012846954e-15
3.510000000000000000e+02,8.532777592829400023e-13,3.074752173777897988e-15
3.520000000000000000e+02,7.889261016333859788e-13,2.798966099166958658e-15
3.530000000000000000e+02,7.294276536183215621e-13,2.547916313743143879e-15
3.540000000000000000e+02,6.744164006762431829e-13,2.319384126792618052e-15
3.550000000000000000e+02,6.235539319696481943e-13,2.111349850307458055e-15
3.560000000000000000e+02,5.765273585946841961e-13,1.921974949685400147e-15
3.570000000000000000e+02,5.330473887932177664e-13,1.749585795400153900e-15
3.580000000000000000e+02,4.928465483266429971e-13,1.592658872045684488e-15
3.590000000000000000e+02,4.556775350637953998e-13,1.449807314036673508e-15
3.600000000000000000e+02,4.213116976609075808e-13,1.319768648972782596e-15
3.610000000000000000e+02,3.895376289749854006e-13,1.201393640346452247e-15
3.620000000000000000e+02,3.601598655577332377e-13,1.093636130990316322e-15
3.630000000000000000e+02,3.329976852297734988e-13,9.955437975038318011e-16
3.640000000000000000e+02,3.078839953382095256e-13,9.062497339502524715e-16
3.650000000000000000e+02,2.846643048584876654e-13,8.249647904433218070e-16
3.660000000000000000e+02,2.631957740172573941e-13,7.509705989150201796e-16
3.670000000000000000e+02,2.433463355898440497e-13,6.836132244283048996e-16
3.680000000000000000e+02,2.249938824668294346e-13,6.222973859275503952e-16
3.690000000000000000e+02,2.080255164919366369e-13,5.664811953515379836e-16
3.700000000000000000e+02,1.923368539503161162e-13,5.156713686151740134e-16
3.710000000000000000e+02,1.778313834348249981e-13,4.694188661362890043e-16
3.720000000000000000e+02,1.644198721401191835e-13,4.273149243799097090e-16
3.730000000000000000e+02,1.520198169322628681e-13,3.889874433482921604e-16
3.740000000000000000e+02,1.405549368170311779e-13,3.540976980904944306e-16
3.750000000000000000e+02,1.299547036847328907e-13,3.223373451690579333e-16
3.760000000000000000e+02,1.201539084448605518e-13,2.934256976278966903e-16
3.770000000000000000e+02,1.110922598815635728e-13,2.671072443785930827e-16
3.780000000000000000e+02,1.027140137622447527e-13,2.431493920822219051e-16
3.790000000000000000e+02,9.496762991767558242e-14,2.213404095703093025e-16
3.800000000000000000e+02,8.780545518410757469e-14,2.014875566383699967e-16
3.810000000000000000e+02,8.118343025693810763e-14,1.834153806750088746e-16
3.820000000000000000e+02,7.506081865259841338e-14,1.669641660727338281e-16
3.830000000000000000e+02,6.939995611132410899e-14,1.519885227169610314e-16
3.840000000000000000e+02,6.416601889922209472e-14,1.383561010787239558e-16
3.850000000000000000e+02,5.932680958430035986e-14,1.259464225555624650e-16
3.860000000000000000e+02,5.485255896863040438e-14,1.146498147235207282e-16
3.870000000000000000e+02,5.071574295819381803e-14,1.043664420903950633e-16
